set,algorithm,id,size,time
Alpha,Improved,276,1102,14.21e-06
Alpha,Improved,277,1102,115.83e-06
Alpha,Improved,278,1102,96.26e-06
Alpha,Improved,279,1102,80.59e-06
Alpha,Improved,280,1102,88.13e-06
Alpha,Generated,281,1102,82.82e-06
Alpha,Generated,282,1102,68.08e-06
Alpha,Generated,283,1102,67.29e-06
Alpha,Generated,284,1102,142.52e-06
Alpha,Generated,285,1102,98.22e-06
Alpha,Improved,281,1102,55.88e-06
Alpha,Improved,282,1102,43.56e-06
Alpha,Improved,283,1102,43.72e-06
Alpha,Improved,284,1102,107.17e-06
Alpha,Improved,285,1102,74.16e-06
Alpha,Generated,286,1102,113.42e-06
Alpha,Generated,287,1102,58.17e-06
Alpha,Generated,288,1102,13.40e-06
Alpha,Generated,289,1102,70.75e-06
Alpha,Generated,290,1102,103.91e-06
Alpha,Improved,286,1102,82.95e-06
Alpha,Improved,287,1102,35.97e-06
Alpha,Improved,288,1102,4.96e-06
Alpha,Improved,289,1102,50.42e-06
Alpha,Improved,290,1102,69.33e-06
Alpha,Generated,291,1102,225.96e-06
Alpha,Generated,292,1102,55.43e-06
Alpha,Generated,293,1102,63.52e-06
Alpha,Generated,294,1102,163.81e-06
Alpha,Generated,295,1102,179.59e-06
Alpha,Improved,291,1102,167.04e-06
Alpha,Improved,292,1102,30.34e-06
Alpha,Improved,293,1102,34.29e-06
Alpha,Improved,294,1102,111.81e-06
Alpha,Improved,295,1102,125.01e-06
Alpha,Generated,296,1102,43.71e-06
Alpha,Generated,297,1102,61.97e-06
Alpha,Generated,298,1102,173.87e-06
Alpha,Generated,299,1102,26.58e-06
Alpha,Generated,300,1102,83.63e-06
Alpha,Improved,296,1102,26.87e-06
Alpha,Improved,297,1102,41.15e-06
Alpha,Improved,298,1102,132.58e-06
Alpha,Improved,299,1102,15.09e-06
Alpha,Improved,300,1102,57.43e-06
Alpha,Generated,301,1202,92.96e-06
Alpha,Generated,302,1202,25.05e-06
Alpha,Generated,303,1202,176.84e-06
Alpha,Generated,304,1202,170.60e-06
Alpha,Generated,305,1202,107.90e-06
Alpha,Improved,301,1202,62.24e-06
Alpha,Improved,302,1202,12.66e-06
Alpha,Improved,303,1202,137.21e-06
Alpha,Improved,304,1202,124.46e-06
Alpha,Improved,305,1202,76.46e-06
Alpha,Generated,306,1202,23.79e-06
Alpha,Generated,307,1202,109.47e-06
Alpha,Generated,308,1202,30.56e-06
Alpha,Generated,309,1202,182.79e-06
Alpha,Generated,310,1202,119.87e-06
Alpha,Improved,306,1202,7.54e-06
Alpha,Improved,307,1202,71.59e-06
Alpha,Improved,308,1202,11.90e-06
Alpha,Improved,309,1202,120.13e-06
Alpha,Improved,310,1202,77.79e-06
Alpha,Generated,311,1202,61.55e-06
Alpha,Generated,312,1202,121.38e-06
